runningId,oid_mivne,id_binyan,t_sug_mivne,ms_komot,shem_mivne,t_amudim,id_binyan_orig,gova2009
,26124,27738,____ ____,3,,__,73918,17
,26125,27739,____ ____,3,,__,73710,17
,26126,27740,____ ____,3,,__,73301,18
,26127,27741,____ ____,5,,_____ ____ ______,65898,21
,26128,27742,____ ____,7,,__,73913,28
,26129,27743,____ ____,4,,_____ ____ ______,75312,15
,26130,27744,____ ____,4,,_____ ____ ______,75314,16
,26131,27745,____ ____,5,,__,130257,20
,26132,27746,____ ____,3,,__,75318,16
,26133,27747,____ ____,4,,__,75319,18
,26134,27748,____ ____,5,,__,75334,15
,26135,27749,____ ____,4,,__,75330,10
,26136,27750,____ ____,3,,__,75331,12
,26137,27751,____ ____,3,,__,73053,12
,26138,27752,____ ____,4,,__,75333,15
,26139,27753,____ ____,3,,__,74146,14
,26140,27754,____ ____,4,,_____ ____ ______,75232,13
,26141,27755,____ ____,4,,_____ ____ ______,74142,12
,26142,27756,____ ____,4,,__,73055,13
,26143,27757,____ ____,4,,__,74123,17
,26144,27758,____ ____,3,,__,74121,17
,26145,27759,____ ____,3,,__,65900,16
,26146,27760,____ ____,4,,__,75310,15
,26147,27761,____ ____,4,,__,73942,17
,26148,27762,____ ____,5,,__,73724,19
,26149,27765,____ ____,3,,__,73722,16
,26150,27766,____ ____,4,,_____ ____ ______,73281,17
,26151,27767,____ ____,5,,_____ ____ ______,75125,16
,26152,27768,____ ____,4,,__,73052,17
,26153,27769,____ ____,4,,__,75203,21
,26154,27770,____ ____,4,,_____ ____ ______,73933,18
,26155,27771,____ ____,4,,__,73919,20
,26156,27772,____ ____,4,,__,73310,16
,26157,27773,____ ____,5,,__,73309,23
,26158,27774,____ ____,4,,_____ ____ ______,75164,14
,26159,27775,____ ____,1,,__,75117,15
,26160,27776,____ ____,4,,_____ ____ ______,75180,19
,26161,27777,____ ____,4,,_____ ____ ______,75154,17
,26162,27778,____ ____,4,,_____ ____ ______,75150,18
,26163,27779,____ ____,5,,__,75148,19
,26164,27780,____ ____,4,,_____ ____ ______,74028,19
,26165,27781,____ ____,4,,_____ ____ ______,75163,19
,26166,27782,____ ____,4,,_____ ____ ______,75181,17
,26167,27783,____ ____,4,,_____ ____ ______,75184,19
,26168,27784,____ ____,4,,_____ ____ ______,74179,14
,26169,27785,____ ____,3,,__,74030,18
,26170,27786,____ ____,4,,_____ ____ ______,74165,17
,26171,27787,____ ____,3,,__,75185,18
,26172,27788,____ ____,4,,_____ ____ ______,73303,17
,26173,27789,____ ____,4,,_____ ____ ______,74020,18
,26174,27790,____ ____,4,,__,75054,20
,26175,27791,____ ____,4,,_____ ____ ______,75092,16
,26176,27792,____ ____,4,,__,74685,19
,26177,27793,____ ____,4,,_____ ____ ______,75195,15
,26178,27794,____ ____,4,,__,75056,18
,26179,27795,____ ____,4,,_____ ____ ______,74022,16
,26180,27796,____ ____,4,,__,73944,21
,26182,27798,____ ____,4,,_____ ____ ______,74188,16
,26183,27799,____ ____,4,,_____ ____ ______,74186,14
,26191,27807,____ ____,4,,__,75328,15
,26219,27837,____ ____,2,,__,75249,12
,26220,27838,____ ____,4,,_____ ____ ______,75084,16
,26221,27839,____ ____,4,,_____ ____ ______,73299,16
,26222,27840,____ ____,4,,__,75351,16
,26223,27841,____ ____,3,,__,73910,14
,26224,27842,____ ____,7,,__,65868,15
,26225,27843,____ ____,3,,__,75353,18
,26226,27844,____ ____,3,,__,66300,11
,26228,27846,____ ____,3,,__,75352,10
,26229,27847,____ ____,2,,__,75354,10
,26232,27850,____ ____,4,,_____ ____ ______,75095,16
,26233,27851,____ ____,4,,_____ ____ ______,74127,14
,26234,27852,____ ____,4,,_____ ____ ______,74125,13
,26239,27857,____ ____,2,,__,75356,8
,26240,27858,____ ____,4,,_____ ____ ______,75198,18
,26241,27859,____ ____,3,,__,73300,17
,26242,27860,____ ____,4,,_____ ____ ______,73901,17
,26243,27861,____ ____,2,,__,75359,13
,26244,27862,____ ____,4,,_____ ____ ______,75197,16
,26245,27863,____ ____,4,,_____ ____ ______,75196,17
,26247,27865,____ ____,4,,_____ ____ ______,75057,14
,26248,27866,____ ____,5,,__,65902,16
,26249,27867,____ ____,4,,_____ ____ ______,75098,18
,26250,27868,____ ____,4,,_____ ____ ______,75096,17
,26251,27869,____ ____,4,,_____ ____ ______,75094,18
,26252,27870,____ ____,5,,__,65875,17
,26257,27875,____ ____,3,,__,75306,17
,26259,27877,____ ____,4,,__,65904,21
,26260,27878,____ ____,1,,__,73308,18
,26261,27879,____ ____,4,,__,65877,16
,26262,27880,____ ____,3,,__,75308,16
,26263,27881,____ ____,4,,_____ ____ ______,73783,19
,26264,27882,____ ____,3,,__,75236,18
,26266,27884,____ ____,4,,_____ ____ ______,74678,13
